County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Orleans,Plant,Flowering Plants,Other Flowering Plants,Asimina triloba,Pawpaw,2002,Threatened,not listed,S2,G5,Recently Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Betula pumila,Swamp Birch,not available,Threatened,not listed,S2,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens laevis,Smooth Beggar-ticks,1986,Threatened,not listed,S2,G5,Recently Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Cardamine douglassii,Purple Cress,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Hydrastis canadensis,Goldenseal,not available,Threatened,not listed,S2,G3G4,Historically Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Jeffersonia diphylla,Twinleaf,1878,Threatened,not listed,S2,G5,Historically Confirmed
Orleans,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,not available,Threatened,Threatened,S1,G1G2,Historically Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Mimulus alatus,Winged Monkey Flower,not available,Rare,not listed,S3,G5,Recently Confirmed
Orleans,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,2017,Endangered,not listed,S2,G5,Recently Confirmed
Orleans,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Chlidonias niger,Black Tern,2007,Endangered,not listed,S2B,G4,Recently Confirmed
Orleans,Animal,Birds,Shrikes,Lanius ludovicianus,Loggerhead Shrike,2000-2005,Endangered,not listed,S1B,G4,Recently Confirmed
Orleans,Animal,Fish,Sculpins,Cottus ricei,Spoonhead Sculpin,not available,Endangered,not listed,SH,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,not available,Endangered,not listed,S1,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,Orchids,Corallorhiza striata var. striata,Striped Coralroot,not available,Endangered,not listed,S1,G5T5,Historically Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Persicaria setacea,Swamp Smartweed,1953,Endangered,not listed,S1S2,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,Orchids,Platanthera leucophaea,Eastern Prairie Fringed Orchid,not available,Endangered,Threatened,SH,G2G3,Historically Confirmed
Orleans,Plant,Flowering Plants,Other Flowering Plants,Ranunculus septentrionalis,Swamp Buttercup,not available,Endangered,not listed,S1,GNR,Historically Confirmed
Orleans,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,1986,Endangered,not listed,S1S2,G5,Historically Confirmed
Orleans,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago houghtonii,Houghton's Goldenrod,not available,Endangered,Threatened,S1,G3,Possible but not Confirmed
Oswego,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2000,Threatened,not listed,S3B,G4,Recently Confirmed
Oswego,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,2000,Threatened,not listed,S3B,G5,Recently Confirmed
Oswego,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,2005,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Oswego,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,2002,Threatened,not listed,S3B,G5,Recently Confirmed
Oswego,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Oswego,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2005,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Oswego,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2014,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Oswego,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail,2009,Threatened,not listed,S1B,G4,Recently Confirmed
Oswego,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Sterna hirundo,Common Tern,2001,Threatened,not listed,S3B,G5,Recently Confirmed
Oswego,Plant,Ferns and Fern Allies,Horsetails,Equisetum palustre,Marsh Horsetail,1914,Threatened,not listed,S2,G5,Historically Confirmed
Oswego,Animal,Fish,Sturgeons and Paddlefish,Acipenser fulvescens,Lake Sturgeon,1982,Threatened,not listed,S2S3,G3G4,Recently Confirmed
Oswego,Animal,Fish,"Minnows, Shiners, Suckers",Erimyzon sucetta,Lake Chubsucker,not available,Threatened,not listed,SH,G5,Historically Confirmed
Oswego,Animal,Fish,Mooneyes,Hiodon tergisus,Mooneye,not available,Threatened,not listed,S2,G5,Historically Confirmed
Oswego,Animal,Fish,Darters and Sunfishes,Lepomis peltastes,Northern Sunfish,1940,Threatened,not listed,S1,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Orchids,Arethusa bulbosa,Dragon's Mouth Orchid,2006,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Asimina triloba,Pawpaw,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Boechera grahamii,Purple Rock Cress,not available,Threatened,not listed,S2,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Sedges,Carex chordorrhiza,Creeping Sedge,2011,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Sedges,Carex houghtoniana,Houghton's Sedge,2013,Threatened,not listed,S2,G5,Recently Confirmed
Oswego,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,1930,Threatened,not listed,S2S3,G3G4,Historically Confirmed
Oswego,Plant,Flowering Plants,Sedges,Cyperus lupulinus ssp. lupulinus,Great Plains Flatsedge,not available,Threatened,not listed,S1S2,G5T5?,Possible but not Confirmed
Oswego,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's-head Lady's Slipper,1900,Threatened,not listed,S2,G3,Historically Confirmed
Oswego,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,1931,Threatened,not listed,S2S3,G5,Historically Confirmed
Oswego,Plant,Flowering Plants,Sedges,Eleocharis uniglumis,Salt-marsh Spike Rush,not available,Threatened,not listed,S2,G5,Historically Confirmed
